loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_macro_f1,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
1.0046756744384766,2.365006446838379,1.9823529411764708e-05,0.19607843137254902,10,,,,,,,,,,,
0.991492748260498,2.2944462299346924,1.9627450980392157e-05,0.39215686274509803,20,,,,,,,,,,,
0.939078426361084,2.6876070499420166,1.943137254901961e-05,0.5882352941176471,30,,,,,,,,,,,
0.8350164413452148,4.597926139831543,1.923529411764706e-05,0.7843137254901961,40,,,,,,,,,,,
0.7299102306365967,2.687624454498291,1.903921568627451e-05,0.9803921568627451,50,,,,,,,,,,,
,,,1.0,51,0.63371741771698,0.7549019607843137,0.6187700421478608,54.7756,1.862,0.237,,,,,
0.5789292335510254,5.6532087326049805,1.8843137254901962e-05,1.1764705882352942,60,,,,,,,,,,,
0.5405088901519776,7.538948059082031,1.8647058823529414e-05,1.3725490196078431,70,,,,,,,,,,,
0.5314833164215088,3.724970579147339,1.8450980392156866e-05,1.5686274509803921,80,,,,,,,,,,,
0.47651138305664065,79.86936950683594,1.8254901960784315e-05,1.7647058823529411,90,,,,,,,,,,,
0.4912850379943848,1.3538851737976074,1.8058823529411767e-05,1.9607843137254903,100,,,,,,,,,,,
,,,2.0,102,0.5764018893241882,0.7647058823529411,0.6870720237604159,35.6029,2.865,0.365,,,,,
0.3982104301452637,5.323915004730225,1.786274509803922e-05,2.156862745098039,110,,,,,,,,,,,
0.373245096206665,8.826428413391113,1.7666666666666668e-05,2.3529411764705883,120,,,,,,,,,,,
0.3787695407867432,35.938812255859375,1.747058823529412e-05,2.549019607843137,130,,,,,,,,,,,
0.2778815269470215,0.6852760910987854,1.7274509803921572e-05,2.7450980392156863,140,,,,,,,,,,,
0.44318547248840334,8.366893768310547,1.707843137254902e-05,2.9411764705882355,150,,,,,,,,,,,
,,,3.0,153,0.3949943482875824,0.8431372549019608,0.8243990929705216,46.1692,2.209,0.282,,,,,
0.34339447021484376,25.694557189941406,1.6882352941176473e-05,3.1372549019607843,160,,,,,,,,,,,
0.2437530755996704,40.5424919128418,1.6686274509803922e-05,3.3333333333333335,170,,,,,,,,,,,
0.2870383024215698,0.45345166325569153,1.6490196078431374e-05,3.5294117647058822,180,,,,,,,,,,,
0.30556139945983884,0.7315444946289062,1.6294117647058826e-05,3.7254901960784315,190,,,,,,,,,,,
0.2403050422668457,1.1599122285842896,1.6098039215686275e-05,3.9215686274509802,200,,,,,,,,,,,
,,,4.0,204,0.34876158833503723,0.8823529411764706,0.8580032206119164,33.8572,3.013,0.384,,,,,
0.1760745167732239,83.95655822753906,1.5901960784313727e-05,4.117647058823529,210,,,,,,,,,,,
0.12041691541671753,0.7251430153846741,1.570588235294118e-05,4.313725490196078,220,,,,,,,,,,,
0.10819119215011597,0.8344324231147766,1.5509803921568628e-05,4.509803921568627,230,,,,,,,,,,,
0.07048320770263672,1.2429258823394775,1.531372549019608e-05,4.705882352941177,240,,,,,,,,,,,
0.14702270030975342,0.2588104009628296,1.511764705882353e-05,4.901960784313726,250,,,,,,,,,,,
,,,5.0,255,0.4651625454425812,0.8823529411764706,0.856561464332047,32.9933,3.092,0.394,,,,,
0.14163682460784913,0.8985815644264221,1.4921568627450983e-05,5.098039215686274,260,,,,,,,,,,,
