loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_macro_f1,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
1.0785919189453126,3.262242555618286,1.9862745098039217e-05,0.19607843137254902,10,,,,,,,,,,,
1.017132568359375,3.788093090057373,1.9666666666666666e-05,0.39215686274509803,20,,,,,,,,,,,
0.9595367431640625,3.528825283050537,1.9470588235294118e-05,0.5882352941176471,30,,,,,,,,,,,
0.9270065307617188,14.612743377685547,1.927450980392157e-05,0.7843137254901961,40,,,,,,,,,,,
0.8244338989257812,6.348775386810303,1.9078431372549022e-05,0.9803921568627451,50,,,,,,,,,,,
,,,1.0,51,0.8018966317176819,0.6666666666666666,0.493137997810895,0.4444,229.529,29.254,,,,,
0.6966156005859375,8.275325775146484,1.888235294117647e-05,1.1764705882352942,60,,,,,,,,,,,
0.6753952026367187,7.9127960205078125,1.8686274509803923e-05,1.3725490196078431,70,,,,,,,,,,,
0.7321891784667969,13.855025291442871,1.8490196078431375e-05,1.5686274509803921,80,,,,,,,,,,,
0.5843772888183594,10.8798189163208,1.8294117647058824e-05,1.7647058823529411,90,,,,,,,,,,,
0.7037269592285156,6.0486345291137695,1.8098039215686276e-05,1.9607843137254903,100,,,,,,,,,,,
,,,2.0,102,0.5659434795379639,0.7647058823529411,0.6598118922365694,0.4452,229.133,29.203,,,,,
0.4223438262939453,16.894214630126953,1.7901960784313728e-05,2.156862745098039,110,,,,,,,,,,,
0.5082553863525391,19.139892578125,1.7705882352941177e-05,2.3529411764705883,120,,,,,,,,,,,
0.47839508056640623,20.166364669799805,1.750980392156863e-05,2.549019607843137,130,,,,,,,,,,,
0.4101894378662109,10.603233337402344,1.731372549019608e-05,2.7450980392156863,140,,,,,,,,,,,
0.47618999481201174,24.022207260131836,1.711764705882353e-05,2.9411764705882355,150,,,,,,,,,,,
,,,3.0,153,0.49015358090400696,0.7843137254901961,0.7774747830166548,0.438,232.86,29.678,,,,,
