loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_macro_f1,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
1.013372802734375,3.4779839515686035,1.9823529411764708e-05,0.19607843137254902,10,,,,,,,,,,,
1.0150665283203124,2.787154197692871,1.9627450980392157e-05,0.39215686274509803,20,,,,,,,,,,,
0.976629638671875,7.571569919586182,1.9450980392156864e-05,0.5882352941176471,30,,,,,,,,,,,
0.931048583984375,15.406563758850098,1.9254901960784316e-05,0.7843137254901961,40,,,,,,,,,,,
0.9422622680664062,8.641912460327148,1.9078431372549022e-05,0.9803921568627451,50,,,,,,,,,,,
,,,1.0,51,0.8668071031570435,0.5294117647058824,0.23076923076923075,0.393,259.539,33.079,,,,,
0.8910797119140625,29.952619552612305,1.8901960784313725e-05,1.1764705882352942,60,,,,,,,,,,,
0.8233978271484375,8.427528381347656,1.8705882352941178e-05,1.3725490196078431,70,,,,,,,,,,,
0.9029808044433594,9.157186508178711,1.850980392156863e-05,1.5686274509803921,80,,,,,,,,,,,
0.6653251647949219,32.994441986083984,1.831372549019608e-05,1.7647058823529411,90,,,,,,,,,,,
0.7996101379394531,7.2091593742370605,1.811764705882353e-05,1.9607843137254903,100,,,,,,,,,,,
,,,2.0,102,0.7906039357185364,0.6862745098039216,0.5672619047619047,0.4581,222.68,28.381,,,,,
0.6359493255615234,11.664067268371582,1.7921568627450983e-05,2.156862745098039,110,,,,,,,,,,,
0.7285995483398438,17.288663864135742,1.772549019607843e-05,2.3529411764705883,120,,,,,,,,,,,
0.640863037109375,13.51740837097168,1.7529411764705884e-05,2.549019607843137,130,,,,,,,,,,,
0.51705322265625,10.729905128479004,1.7333333333333336e-05,2.7450980392156863,140,,,,,,,,,,,
0.5417156219482422,12.927338600158691,1.7137254901960784e-05,2.9411764705882355,150,,,,,,,,,,,
,,,3.0,153,0.48071298003196716,0.803921568627451,0.7485420447670901,0.4637,219.948,28.033,,,,,
0.4464550018310547,15.412741661071777,1.6941176470588237e-05,3.1372549019607843,160,,,,,,,,,,,
0.3625654220581055,6.717236518859863,1.674509803921569e-05,3.3333333333333335,170,,,,,,,,,,,
0.3313434600830078,1.5376429557800293,1.6568627450980395e-05,3.5294117647058822,180,,,,,,,,,,,
